# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.3.2
#@/tick	469164
#@/user_id	47d94b64-518c-4017-b837-441ef302fb7b
an tian 	按天	c=1 d=1 t=347689
an wei 	安慰	c=6 d=3.2174e-42 t=469164
an wen 	安穩	c=1 d=1 t=197058
an wo 	按我	c=2 d=1 t=424355
an xia 	按下	c=1 d=1 t=423263
an xiang 	暗箱	c=1 d=1 t=368146
an xin 	安心	c=6 d=0.29671 t=469164
an xu 	按需	c=8 d=2.45518e-67 t=469164
an ye wu 	按業務	c=1 d=1 t=178359
an yi 	安逸	c=4 d=1.19646e-68 t=469164
an yi ge 	按一個	c=1 d=1 t=429880
an you xian ji 	按優先級	c=1 d=1 t=204157
an yu 	暗語	c=1 d=1.66412e-168 t=469164
an yue 	按月	c=1 d=1 t=297933
an zan men 	按咱們	c=1 d=1 t=402046
an zhao 	按照	c=12 d=1.06491e-34 t=469164
an zhe 	按着	c=2 d=1.1159 t=120469
an zhe ge 	按這個	c=1 d=1 t=462867
an zhe zhong 	按這種	c=1 d=1 t=426873
an zhi qian 	按之前	c=1 d=1 t=250309
an zhong 	暗中	c=1 d=1 t=98361
an zhou 	按周	c=1 d=1 t=268531
an zhu 	按住	c=2 d=1 t=355750
an zhuang 	安裝	c=109 d=3.12104e-07 t=469164
an zhuang bao 	安裝包	c=2 d=1 t=405817
an zhuo 	安卓	c=242 d=3.22764e-10 t=469164
an zi 	暗自	c=1 d=1 t=368174
an zu 	按組	c=4 d=1 t=440049
ang 	昂	c=11 d=2.63427e-13 t=469164
ang ke la 	昂克拉	c=2 d=1.32956 t=119277
ang ke wei 	昂科威	c=2 d=3.66855e-27 t=469164
ao 	凹	c=11 d=1 t=384297
ao 	嗷	c=1 d=1.51934e-156 t=469164
ao 	奧	c=50 d=3.87202e-15 t=469164
ao 	熬	c=18 d=1.11143e-37 t=469164
ao ao 	嗷嗷	c=1 d=2.37996e-142 t=469164
ao cao 	凹槽	c=2 d=1.1953e-174 t=469164
ao chu tou 	熬出頭	c=2 d=1 t=359912
ao dao 	熬到	c=2 d=5.01016e-76 t=469164
ao di 	奧迪	c=14 d=1 t=461923
ao dian 	熬點	c=1 d=1 t=383162
ao kou 	拗口	c=1 d=1 t=425268
ao li gei 	奧裏給	c=1 d=1 t=457230
ao man 	傲慢	c=1 d=1 t=191835
ao man 	熬滿	c=2 d=1 t=300307
ao men 	澳門	c=2 d=2.27863e-42 t=469164
ao miao 	奧妙	c=1 d=1 t=297769
ao nan 	奧南	c=2 d=1.77105 t=425940
ao sai 	奧賽	c=1 d=1 t=294365
ao ti 	奧體	c=13 d=1.37115e-37 t=469164
ao tu 	凹凸	c=1 d=1 t=336107
ao ye 	熬夜	c=9 d=8.98459e-06 t=469164
ao zi 	襖子	c=1 d=7.29423e-142 t=469164
ao zou 	熬走	c=2 d=1 t=282467
arial unicode 	Arial Unicode	c=0 d=2.28377e-187 t=469164
ba 	八	c=3 d=6.30604e-194 t=469164
ba 	吧	c=2987 d=1.97239 t=469164
ba 	巴	c=4 d=1.75974e-179 t=469164
ba 	扒	c=12 d=2.64244e-20 t=469164
ba 	把	c=752 d=0.0821877 t=469164
ba 	拔	c=1 d=1.45415e-52 t=469164
ba 	爸	c=2 d=6.07771e-25 t=469164
ba ba 	巴巴	c=4 d=2.98188e-30 t=469164
ba ba 	把把	c=1 d=8.05425e-161 t=469164
ba ba 	爸爸	c=14 d=1.6964e-100 t=469164
ba ba 	粑粑	c=2 d=1 t=446908
ba bao zhou 	八寶粥	c=1 d=3.81502e-17 t=469164
ba bi 	芭比	c=1 d=1 t=343869
ba bu de 	巴不得	c=1 d=2.39726e-139 t=469164
ba che 	把車	c=3 d=1 t=452995
ba da 	八大	c=0 d=1.82177e-175 t=469164
ba da yi 	八大姨	c=1 d=1.8309e-174 t=469164
ba diao 	拔掉	c=4 d=1.61032e-105 t=469164
ba fang zi 	把房子	c=1 d=1 t=438580
ba fei te 	巴菲特	c=1 d=1 t=401479
ba gong 	罷工	c=1 d=0.111359 t=469164
ba gua 	八卦	c=6 d=1.2279e-33 t=469164
ba guan 	把關	c=2 d=1 t=416635
ba he 	拔河	c=3 d=2.51691 t=455304
ba kong 	把控	c=22 d=5.35808e-13 t=469164
ba la 	巴拉	c=7 d=3.84333e-155 t=469164
ba la ba la 	巴拉巴拉	c=2 d=1.75701e-160 t=469164
ba le 	罷了	c=5 d=1.6361e-86 t=469164
ba lian 	把臉	c=0 d=5.70881e-54 t=469164
ba ma 	爸媽	c=11 d=1.38894e-71 t=469164
ba mei 	把妹	c=1 d=1 t=189088
ba ni 	把你	c=61 d=1.91273e-12 t=469164
ba ni jia 	把你加	c=1 d=1 t=169843
ba ni lia 	吧你倆	c=1 d=5.17224e-127 t=469164
ba ni lia 	把你倆	c=1 d=1 t=175257
ba qi 	霸氣	c=10 d=2.74794e-10 t=469164
ba qian 	把錢	c=2 d=1.59766e-71 t=469164
ba ren 	把人	c=4 d=1.11031e-173 t=469164
ba shang 	壩上	c=1 d=1 t=358546
ba shi 	巴士	c=2 d=9.85584e-97 t=469164
ba shi yin zi 	巴士因子	c=3 d=4.68234e-92 t=469164
ba ta 	把他	c=4 d=1 t=409314
ba ta 	把她	c=1 d=5.92765e-25 t=469164
ba ta 	把它	c=11 d=2.46723e-07 t=469164
ba tai 	吧檯	c=1 d=4.22101e-89 t=469164
ba wan 	把玩	c=5 d=6.23202e-114 t=469164
ba wang 	霸王	c=1 d=1 t=148813
ba wo 	把我	c=21 d=1.14252e-38 t=469164
ba wo 	把握	c=8 d=3.02099e-95 t=469164
ba yue 	八月	c=2 d=1 t=142011
ba yue fen 	八月份	c=1 d=1 t=117390
ba zhan 	霸佔	c=1 d=1 t=421660
ba zhe 	把這	c=2 d=5.89187e-43 t=469164
ba zhe ge 	把這個	c=1 d=3.20234e-75 t=469164
ba zhe wan yi 	把這玩意	c=1 d=1 t=160928
ba zhe yi tian 	把這一天	c=1 d=1 t=450178
ba zhua yu 	八爪魚	c=1 d=1 t=247177
ba zi 	把子	c=0 d=0.1 t=377643
bai 	拜	c=1 d=1 t=326972
bai 	擺	c=4 d=1.25622e-26 t=469164
bai 	白	c=39 d=1.00129e-22 t=469164
bai 	百	c=5 d=1 t=449614
bai bai 	拜拜	c=1 d=1.21566e-209 t=469164
bai bai 	白白	c=1 d=1 t=161819
bai ban 	白板	c=1 d=1 t=147462
bai bian 	白邊	c=1 d=1.99692e-107 t=469164
bai bing 	百病	c=1 d=1 t=427595
bai che 	白車	c=1 d=1 t=259853
bai chi 	白癡	c=2 d=5.73705e-111 t=469164
bai chu 	擺出	c=1 d=1.16197e-207 t=469164
bai chui 	白吹	c=1 d=1 t=149871
bai dao 	擺到	c=1 d=1 t=436224
bai dao 	百刀	c=1 d=1 t=291243
bai du 	百度	c=55 d=1.43851e-13 t=469164
bai fang 	拜訪	c=4 d=1.47528e-104 t=469164
bai fei 	白費	c=2 d=1 t=269246
bai fen 	百分	c=1 d=1 t=412840
bai fen bi 	百分比	c=12 d=9.0327e-10 t=469164
bai fen hao 	百分號	c=1 d=1.21107e-194 t=469164
bai fen zhi 	百分之	c=1 d=1 t=234052
bai fu mei 	白富美	c=1 d=1 t=427244
bai gai 	白改	c=1 d=1 t=375304
bai gao 	白搞	c=1 d=1 t=308911
bai gei 	敗給	c=1 d=1 t=314331
bai hua 	白話	c=2 d=1 t=299335
bai hua hua 	白花花	c=1 d=1 t=162813
bai hua qi fang 	百花齊放	c=1 d=1 t=426713
bai huo 	白活	c=1 d=1 t=381382
bai huo 	百貨	c=2 d=1 t=274932
bai jia 	百家	c=2 d=1 t=436351
bai jia xing 	百家姓	c=1 d=1 t=105898
bai jin 	白金	c=3 d=1.58151e-69 t=469164
bai jin ka 	白金卡	c=3 d=1.04962e-84 t=469164
bai jiu 	白酒	c=2 d=1 t=450448
bai kai shui 	白開水	c=1 d=1 t=214678
bai ke 	百科	c=7 d=1 t=440974
bai lai 	白來	c=1 d=1 t=126891
bai lao ban 	白老闆	c=2 d=1 t=411608
bai li 	百利	c=0 d=0.1 t=394838
bai li er wu yi hai 	百利而五一還	c=1 d=1 t=394839
bai long jiang 	白龍江	c=5 d=5.22923e-197 t=469164
bai mang 	百忙	c=0 d=0.1 t=246905
bai mang huo 	百忙活	c=2 d=1 t=412926
bai mi 	百米	c=2 d=1 t=205547
bai mi fan 	白米飯	c=1 d=1 t=186602
bai ming dan 	白名單	c=9 d=1 t=363406
bai mo 	白沫	c=0 d=0.1 t=352784
bai mo yi xia 	白沫一下	c=1 d=1 t=352785
bai nian 	百年	c=0 d=0.1 t=213131
bai pao 	白跑	c=3 d=1.88692 t=222675
bai piao 	白嫖	c=8 d=1 t=454008
bai ping 	白屏	c=31 d=3.11694e-87 t=469164
bai se 	白色	c=23 d=8.09455e-14 t=469164
bai shan 	白山	c=1 d=1 t=204617
bai she 	擺設	c=1 d=1.4604e-73 t=469164
bai shi 	百事	c=3 d=1 t=400824
bai shui 	白水	c=2 d=1.28289e-19 t=469164
bai su zhen 	白素貞	c=1 d=1.11575e-112 t=469164
bai tang 	白唐	c=118 d=8.25245e-06 t=469164
bai tang 	白糖	c=7 d=7.34048e-40 t=469164
bai tian 	白天	c=1 d=1 t=119234
bai tu 	白兔	c=1 d=2.46138e-126 t=469164
bai tuo 	拜託	c=7 d=9.26076e-68 t=469164
bai tuo 	擺脫	c=1 d=1 t=306742
bai wan 	百萬	c=7 d=1 t=468378
